frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
113,person,0.85,3,40,239,168,487,,,,,,
114,person,0.85,3,45,241,169,488,,,,,,
115,person,0.83,3,51,240,170,490,,,,,,
116,person,0.84,3,61,240,171,488,,,,,,
117,person,0.81,3,74,239,171,485,,,,,,
118,person,0.79,3,87,238,172,482,,,,,,
119,person,0.75,3,95,237,174,481,,,,,,
120,person,0.73,3,101,239,179,479,,,,,,
121,person,0.77,3,107,239,184,478,,,,,,
122,person,0.77,3,111,241,191,479,,,,,,
123,person,0.81,3,113,242,199,479,,,,,,
124,person,0.8,3,115,245,207,477,,,,,,
125,person,0.79,3,117,248,213,477,,,,,,
126,person,0.79,3,121,248,217,475,,,,,,
127,person,0.81,3,125,242,221,475,,,,,,
128,person,0.81,3,130,239,223,475,,,,,,
128,bus,0.71,1,1289,239,1419,371,,,,,,
129,person,0.78,3,141,244,226,474,,,,,,
129,bus,0.75,1,1288,241,1417,371,,,,,,
130,person,0.75,3,148,244,229,472,,,,,,
130,bus,0.7,1,1288,241,1416,370,,,,,,
131,person,0.79,3,156,244,233,471,,,,,,
132,person,0.83,3,161,247,239,470,,,,,,
132,bus,0.71,1,1287,241,1413,369,,,,,,
133,person,0.83,3,167,245,245,470,,,,,,
133,bus,0.7,1,1287,242,1411,368,,,,,,
134,person,0.85,3,171,241,251,469,,,,,,
135,person,0.85,3,178,240,259,467,,,,,,
136,person,0.82,3,182,241,273,467,,,,,,
137,person,0.82,3,185,246,279,468,,,,,,
137,bus,0.71,1,1286,246,1408,367,,,,,,
138,person,0.83,3,188,249,282,468,,,,,,
139,person,0.85,3,191,255,284,469,,,,,,
140,person,0.86,3,194,256,287,469,,,,,,
140,bus,0.7,1,1284,249,1404,368,,,,,,
141,person,0.86,3,196,261,288,468,,,,,,
141,bus,0.7,1,1283,249,1403,367,,,,,,
142,person,0.86,3,200,257,289,468,,,,,,
143,person,0.84,3,205,254,290,466,,,,,,
144,person,0.82,3,212,254,290,465,,,,,,
145,person,0.82,3,221,248,292,464,,,,,,
146,person,0.8,3,229,245,294,462,,,,,,
147,person,0.81,3,233,243,296,461,,,,,,
148,person,0.46,3,238,242,302,461,,,,,,
149,person,0.13,3,241,243,307,461,,,,,,
149,bus,0.7,1,1276,250,1392,365,,,,,,
150,person,0.8,3,242,242,309,460,,,,,,
150,bus,0.72,1,1276,250,1392,365,,,,,,
151,person,0.8,3,243,246,316,461,,,,,,
151,bus,0.72,1,1275,250,1391,364,,,,,,
152,person,0.78,3,244,249,320,461,,,,,,
152,bus,0.76,1,1274,250,1389,364,,,,,,
153,person,0.8,3,244,251,323,460,,,,,,
153,bus,0.81,1,1274,251,1387,364,,,,,,
154,person,0.79,3,248,251,325,459,,,,,,
154,bus,0.8,1,1274,251,1385,364,,,,,,
155,person,0.75,3,251,256,330,459,,,,,,
155,bus,0.76,1,1273,251,1384,362,,,,,,
156,person,0.72,3,253,255,331,459,,,,,,
156,bus,0.77,1,1272,251,1382,362,,,,,,
157,person,0.8,3,260,253,335,452,,,,,,
157,bus,0.75,1,1270,252,1381,362,,,,,,
158,person,0.8,3,266,252,338,450,,,,,,
158,bus,0.74,1,1270,252,1379,362,,,,,,
159,person,0.79,3,275,246,343,450,,,,,,
159,bus,0.7,1,1270,252,1378,362,,,,,,
160,person,0.8,3,282,244,350,450,,,,,,
160,bus,0.74,1,1270,252,1379,362,,,,,,
161,person,0.81,3,289,244,356,451,,,,,,
161,bus,0.78,1,1270,252,1379,362,,,,,,
162,person,0.79,3,292,250,360,451,,,,,,
162,bus,0.77,1,1269,252,1378,361,,,,,,
163,person,0.74,3,295,257,366,452,,,,,,
163,bus,0.75,1,1269,252,1377,361,,,,,,
164,person,0.73,3,298,262,372,451,,,,,,
164,bus,0.75,1,1269,252,1375,361,,,,,,
165,person,0.8,3,301,265,379,451,,,,,,
165,bus,0.78,1,1269,252,1374,361,,,,,,
166,person,0.82,3,303,262,383,451,,,,,,
166,bus,0.76,1,1267,254,1373,361,,,,,,
167,person,0.82,3,305,262,385,451,,,,,,
167,bus,0.77,1,1264,254,1371,360,,,,,,
168,person,0.84,3,305,261,387,451,,,,,,
168,bus,0.78,1,1264,254,1370,359,,,,,,
169,person,0.85,3,308,259,388,450,,,,,,
169,bus,0.79,1,1262,254,1369,359,,,,,,
170,person,0.81,3,312,258,390,450,,,,,,
170,bus,0.78,1,1261,254,1368,358,,,,,,
171,person,0.78,3,318,257,393,450,,,,,,
171,bus,0.77,1,1259,255,1367,358,,,,,,
172,person,0.77,3,326,257,395,448,,,,,,
172,bus,0.75,1,1258,255,1365,357,,,,,,
173,person,0.77,3,332,259,396,447,,,,,,
173,bus,0.72,1,1258,256,1364,357,,,,,,
174,person,0.8,3,337,257,398,445,,,,,,
174,bus,0.71,1,1258,257,1362,357,,,,,,
175,person,0.62,3,341,258,401,444,,,,,,
175,bus,0.71,1,1258,257,1361,357,,,,,,
176,person,0.63,3,343,255,403,444,,,,,,
176,bus,0.72,1,1257,257,1360,357,,,,,,
177,person,0.59,3,346,261,403,445,,,,,,
177,bus,0.7,1,1256,257,1358,358,,,,,,
178,person,0.76,3,348,258,409,444,,,,,,
179,person,0.8,3,348,255,413,444,,,,,,
180,person,0.77,3,350,254,415,444,,,,,,
181,person,0.76,3,349,255,418,443,,,,,,
182,person,0.73,3,349,257,423,444,,,,,,
183,person,0.74,3,355,259,425,441,,,,,,
